GROUP_ID,WELL_CD,ROC_VOLTAGE,FLOW,PRESSURE_TH,TSTART
48,MOOM230,1050-EB-00134.RM_PV,1050-F-00134.RM_PV,1050-P_TH-00134.RM_PV,14/12/2018 23:15
14,MOOM231,1050-EB-00139.RM_PV,1050-F-00139.RM_PV,1050-P_TH-00139.RM_PV,29/12/2018 21:15
14,MOOM232,1040-EB-00036.RM_PV,1040-F-00036.RM_PV,1040-P_TH-00036.RM_PV,16/07/2019 9:59
14,MOOM234,1040-EB-00050.RM_PV,1040-F-00050.RM_PV,1040-P_TH-00050.RM_PV,16/07/2019 10:02
40,MOOM235,1050-EB-00153.RM_PV,1050-F-00153.RM_PV,1050-P_TH-00153.RM_PV,16/07/2019 10:04
49,MOOM236,1050-EB-00159.RM_PV,1050-F-00159.RM_PV,1050-P_TH-00159.RM_PV,27/03/2020 1:04
50,MOOM237,1040-EB-00063.RM_PV,1040-F-00063.RM_PV,1040-P_TH-00063.RM_PV,13/04/2020 9:02
40,MOOM238,1050-EB-00185.RM_PV,1050-F-00185.RM_PV,1050-P_TH-00185.RM_PV,25/05/2020 20:18
40,MOOM239,1050-EB-00190.RM_PV,1050-F-00190.RM_PV,1050-P_TH-00190.RM_PV,26/05/2020 2:08
40,MOOM240,1050-EB-00195.RM_PV,1050-F-00195.RM_PV,1050-P_TH-00195.RM_PV,24/05/2020 8:11
40,MOOM241,1050-EB-00200.RM_PV,1050-F-00200.RM_PV,1050-P_TH-00200.RM_PV,24/05/2020 0:12
25,MOOM242,1050-EB-00164.RM_PV,1050-F-00164.RM_PV,1050-P_TH-00164.RM_PV,24/10/2020 23:07
25,MOOM243,1050-EB-00169.RM_PV,1050-F-00169.RM_PV,1050-P_TH-00169.RM_PV,5/11/2020 3:11
25,MOOM244,1050-EB-00174.RM_PV,1050-F-00174.RM_PV,1050-P_TH-00174.RM_PV,5/11/2020 2:13
25,MOOM245,1050-EB-00180.RM_PV,1050-F-00180.RM_PV,1050-P_TH-00180.RM_PV,15/12/2020 1:30
14,MOOM246,1060-EB-00015.RM_PV,1060-F-00015.RM_PV,1060-P_TH-00015.RM_PV,27/02/2020 0:57
14,MOOM247,1060-EB-00020.RM_PV,1060-F-00020.RM_PV,1060-P_TH-00020.RM_PV,18/01/2020 1:15
14,MOOM248,1060-EB-00025.RM_PV,1060-F-00025.RM_PV,1060-P_TH-00025.RM_PV,18/01/2020 0:16
14,MOOM249,1060-EB-00030.RM_PV,1060-F-00030.RM_PV,1060-P_TH-00030.RM_PV,7/04/2020 2:16
39,MOOM250,1040-EB-00073.RM_PV,1040-F-00073.RM_PV,1040-P_TH-00073.RM_PV,27/03/2020 21:30
50,MOOM251,1050-EB-00205.RM_PV,1050-F-00205.RM_PV,1050-P_TH-00205.RM_PV,12/04/2020 9:11
48,MOOM252,1050-EB-00216.RM_PV,1050-F-00216.RM_PV,1050-P_TH-00216.RM_PV,30/09/2020 5:16
3,MOOM253,1070-EB-00351.RM_PV,1070-F-00351.RM_PV,1070-P_TH-00351.RM_PV,25/05/2020 7:31
3,MOOM254,1070-EB-00396.RM_PV,1070-F-00396.RM_PV,1070-P_TH-00396.RM_PV,14/07/2020 5:17
3,MOOM255,1070-EB-00401.RM_PV,1070-F-00401.RM_PV,1070-P_TH-00401.RM_PV,14/07/2020 5:19
3,MOOM256,1070-EB-00406.RM_PV,1070-F-00406.RM_PV,1070-P_TH-00406.RM_PV,14/07/2020 5:18
25,MOOM257,1050-EB-00231.RM_PV,1050-F-00231.RM_PV,1050-P_TH-00231.RM_PV,17/03/2021 20:17
5,MOOM259,1070-EB-00380.RM_PV,1070-F-00380.RM_PV,1070-P_TH-00380.RM_PV,22/05/2021 0:59
7,MOOM26,1070-EB-0123.RM_PV,1070-F-0123.RM_PV,1070-P_TH-0123.RM_PV,29/06/2016 5:14
50,MOOM260,1040-EB-00080.RM_PV,1040-F-00080.RM_PV,1040-P_TH-00080.RM_PV,9/05/2021 1:56
19,MOOM261,1040-EB-00085.RM_PV,1040-F-00085.RM_PV,1040-P_TH-00085.RM_PV,12/06/2021 0:16
19,MOOM262,1060-EB-00038.RM_PV,1060-F-00038.RM_PV,1060-P_TH-00038.RM_PV,10/04/2021 21:17
25,MOOM263,1060-EB-00077.RM_PV,1060-F-00077.RM_PV,1060-P_TH-00077.RM_PV,28/04/2021 1:18
25,MOOM264,1060-EB-00091.RM_PV,1060-F-00091.RM_PV,1060-P_TH-00091.RM_PV,14/06/2021 20:51
46,MOOM27,1070-EB-0126.RM_PV,1070-F-0126.RM_PV,1070-P_TH-0126.RM_PV,29/06/2016 5:05
49,MOOM28,1060-EB-5103.RM_PV,1060-F-5103.RM_PV,1060-P_TH-5103.RM_PV,29/06/2016 5:15
14,MOOM29,1040-EB-8497.RM_PV,1040-F-8497.RM_PV,1040-P_TH-8497.RM_PV,29/06/2016 5:05
35,MOOM31,1050-EB-0350.RM_PV,1050-F-0350.RM_PV,1050-P_TH-0350.RM_PV,29/06/2016 5:15
35,MOOM32,1050-EB-0351.RM_PV,1050-F-0351.RM_PV,1050-P_TH-0351.RM_PV,29/06/2016 5:16
48,MOOM33,1050-EB-0352.RM_PV,1050-F-0352.RM_PV,1050-P_TH-0352.RM_PV,29/06/2016 5:17
14,MOOM34,1040-EB-8498.RM_PV,1040-F-8498.RM_PV,1040-P_TH-8498.RM_PV,29/06/2016 5:18
14,MOOM35,1050-EB-0348.RM_PV,1050-F-0348.RM_PV,1050-P_TH-0348.RM_PV,29/06/2016 5:19
48,MOOM36,1050-EB-0057.RM_PV,1050-F-0057.RM_PV,1050-P_TH-0057.RM_PV,29/06/2016 5:20
35,MOOM37,1050-EB-0353.RM_PV,1050-F-0353.RM_PV,1050-P_TH-0353.RM_PV,29/06/2016 5:21
